engine_no,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,sensor_measurement_22,sensor_measurement_23
45,1,0.0019,-0.0003,100.0,518.67,642.4,1584.27,1403.72,14.62,21.61,554.81,2387.99,9071.34,1.3,47.13,522.49,2387.95,8150.67,8.3918,0.03,391,2388,100.0,39.15,23.4142,,
45,2,-0.0008,0.0001,100.0,518.67,642.57,1580.54,1398.95,14.62,21.61,554.31,2387.93,9068.79,1.3,47.2,522.53,2387.99,8155.6,8.3873,0.03,390,2388,100.0,39.01,23.4461,,
45,3,0.0026,-0.0,100.0,518.67,641.83,1586.01,1396.16,14.62,21.61,554.86,2387.94,9072.93,1.3,47.03,522.4,2388.02,8156.34,8.4158,0.03,390,2388,100.0,38.97,23.3814,,
45,4,-0.0006,0.0001,100.0,518.67,642.51,1588.56,1399.46,14.62,21.61,554.81,2387.97,9074.0,1.3,47.21,522.43,2387.96,8159.99,8.3862,0.03,392,2388,100.0,38.89,23.5169,,
45,5,-0.0007,0.0,100.0,518.67,642.43,1577.38,1402.37,14.62,21.61,554.54,2387.94,9068.84,1.3,47.45,522.16,2388.02,8153.01,8.4016,0.03,391,2388,100.0,39.01,23.3457,,
45,6,-0.0011,0.0001,100.0,518.67,642.25,1586.89,1394.36,14.62,21.61,554.91,2388.02,9068.47,1.3,47.14,522.52,2387.95,8149.79,8.3942,0.03,391,2388,100.0,38.98,23.4869,,
45,7,0.0011,-0.0005,100.0,518.67,642.59,1586.75,1394.63,14.62,21.61,554.3,2388.01,9076.48,1.3,47.24,522.55,2388.02,8152.54,8.4392,0.03,391,2388,100.0,38.77,23.4211,,
45,8,-0.0017,0.0001,100.0,518.67,641.75,1583.59,1397.04,14.62,21.61,554.83,2387.98,9071.25,1.3,47.22,522.6,2387.97,8143.72,8.4142,0.03,392,2388,100.0,39.08,23.4394,,
45,9,-0.0038,-0.0003,100.0,518.67,642.48,1575.54,1393.75,14.62,21.6,554.93,2387.94,9077.86,1.3,47.33,522.57,2388.01,8150.72,8.3895,0.03,392,2388,100.0,38.86,23.3374,,
45,10,0.0025,-0.0,100.0,518.67,642.19,1586.95,1395.36,14.62,21.61,554.75,2387.95,9077.97,1.3,47.26,522.29,2387.93,8154.64,8.4147,0.03,392,2388,100.0,39.09,23.3871,,
45,11,0.0021,-0.0,100.0,518.67,642.04,1581.9,1395.97,14.62,21.61,554.93,2388.0,9064.09,1.3,47.21,521.71,2388.0,8151.27,8.3684,0.03,392,2388,100.0,39.0,23.4111,,
45,12,-0.001,-0.0002,100.0,518.67,642.23,1589.56,1401.5,14.62,21.61,554.55,2387.95,9074.9,1.3,47.22,522.52,2387.95,8149.41,8.402,0.03,393,2388,100.0,39.0,23.4707,,
45,13,0.0006,0.0004,100.0,518.67,641.83,1580.03,1396.11,14.62,21.61,554.64,2388.04,9074.75,1.3,47.18,523.07,2388.02,8157.31,8.4204,0.03,391,2388,100.0,38.95,23.4372,,
45,14,-0.0015,-0.0005,100.0,518.67,642.2,1578.76,1395.27,14.62,21.61,554.56,2387.99,9076.98,1.3,47.0,522.68,2388.0,8154.58,8.3869,0.03,392,2388,100.0,38.98,23.463,,
45,15,-0.0014,0.0003,100.0,518.67,642.15,1585.59,1399.03,14.62,21.61,555.12,2387.98,9068.15,1.3,47.34,521.74,2388.04,8152.81,8.3869,0.03,392,2388,100.0,38.99,23.3841,,
45,16,-0.0039,-0.0001,100.0,518.67,642.28,1586.88,1396.88,14.62,21.61,554.87,2387.93,9068.3,1.3,47.22,522.23,2387.96,8150.84,8.3892,0.03,392,2388,100.0,38.98,23.5026,,
45,17,-0.0008,0.0003,100.0,518.67,642.06,1583.64,1406.43,14.62,21.6,554.16,2388.0,9070.49,1.3,47.06,522.62,2388.05,8152.64,8.3696,0.03,391,2388,100.0,38.85,23.4428,,
45,18,0.0036,-0.0005,100.0,518.67,642.47,1590.93,1400.46,14.62,21.61,554.32,2388.0,9067.69,1.3,47.2,522.26,2388.0,8158.15,8.4012,0.03,392,2388,100.0,39.0,23.3411,,
45,19,-0.0027,0.0001,100.0,518.67,641.91,1584.73,1390.08,14.62,21.61,554.84,2388.01,9070.81,1.3,47.15,522.32,2387.96,8151.07,8.3959,0.03,392,2388,100.0,39.09,23.3803,,
45,20,0.0024,0.0003,100.0,518.67,642.11,1589.46,1394.04,14.62,21.61,554.0,2388.01,9071.12,1.3,47.33,521.62,2387.96,8149.96,8.3932,0.03,391,2388,100.0,38.97,23.4737,,
45,21,0.0005,-0.0003,100.0,518.67,642.23,1582.61,1396.32,14.62,21.6,554.12,2388.04,9079.16,1.3,47.15,522.02,2387.98,8149.71,8.3811,0.03,391,2388,100.0,39.15,23.3855,,
45,22,0.0012,-0.0002,100.0,518.67,642.64,1583.37,1404.5,14.62,21.61,553.71,2387.93,9072.85,1.3,47.14,522.33,2387.99,8154.55,8.387,0.03,391,2388,100.0,39.12,23.4677,,
45,23,-0.0039,-0.0004,100.0,518.67,642.31,1590.53,1391.76,14.62,21.61,554.6,2387.97,9070.83,1.3,47.17,522.41,2388.02,8158.59,8.4418,0.03,391,2388,100.0,38.92,23.3783,,
45,24,-0.0008,-0.0001,100.0,518.67,642.15,1583.11,1406.04,14.62,21.61,554.47,2388.0,9071.34,1.3,47.3,522.31,2388.01,8152.79,8.4091,0.03,393,2388,100.0,38.96,23.3422,,
45,25,0.0,-0.0001,100.0,518.67,642.74,1581.95,1397.36,14.62,21.61,553.77,2387.97,9074.31,1.3,47.18,522.57,2387.99,8154.97,8.3803,0.03,392,2388,100.0,39.09,23.4403,,
45,26,0.0004,0.0002,100.0,518.67,641.57,1586.48,1405.01,14.62,21.61,554.65,2387.99,9076.04,1.3,47.24,522.29,2388.0,8151.66,8.3997,0.03,392,2388,100.0,39.16,23.4187,,
45,27,-0.0039,-0.0002,100.0,518.67,641.64,1587.1,1403.04,14.62,21.6,554.16,2387.99,9070.97,1.3,47.18,522.41,2387.97,8150.2,8.3762,0.03,391,2388,100.0,39.01,23.5326,,
45,28,0.0001,-0.0004,100.0,518.67,642.0,1588.32,1396.93,14.62,21.61,554.15,2387.99,9069.58,1.3,47.0,522.6,2388.02,8147.45,8.4205,0.03,392,2388,100.0,39.12,23.3835,,
45,29,-0.0009,-0.0003,100.0,518.67,641.66,1586.43,1394.31,14.62,21.61,554.12,2388.0,9073.6,1.3,47.12,522.35,2387.96,8149.98,8.369,0.03,392,2388,100.0,38.84,23.4971,,
45,30,0.0026,-0.0004,100.0,518.67,641.87,1578.31,1398.59,14.62,21.61,554.54,2387.96,9073.33,1.3,47.25,522.51,2388.0,8149.15,8.3854,0.03,393,2388,100.0,38.94,23.3643,,
45,31,-0.0009,-0.0005,100.0,518.67,641.99,1592.57,1401.2,14.62,21.61,554.35,2388.02,9075.67,1.3,47.09,522.1,2388.0,8153.18,8.4278,0.03,390,2388,100.0,38.92,23.2955,,
45,32,0.0002,-0.0005,100.0,518.67,642.83,1586.52,1395.14,14.62,21.61,555.01,2387.99,9080.29,1.3,47.26,522.09,2387.95,8147.43,8.4265,0.03,393,2388,100.0,38.98,23.4345,,
45,33,-0.0003,0.0002,100.0,518.67,642.15,1587.98,1395.86,14.62,21.61,555.55,2388.01,9068.15,1.3,47.25,522.58,2388.0,8154.57,8.3851,0.03,391,2388,100.0,38.97,23.4007,,
